|id     |va_id|line|type|count|direction|created_at         |client_id|present|
|232,544|806  |0   |0   |1    |2        |2025-11-27 10:42:00|6        |-3     |
|232,545|806  |0   |0   |1    |2        |2025-11-27 10:48:00|6        |-3     |
|232,546|806  |0   |0   |1    |1        |2025-11-27 10:51:00|6        |-3     |
|232,547|806  |0   |0   |2    |2        |2025-11-27 10:51:00|6        |-3     |
|232,548|806  |0   |0   |2    |1        |2025-11-27 11:06:00|6        |0      |
|232,549|806  |0   |0   |1    |1        |2025-11-27 11:09:00|6        |0      |
|232,550|806  |0   |0   |1    |2        |2025-11-27 11:09:00|6        |0      |
|232,551|806  |0   |0   |1    |2        |2025-11-27 11:18:00|6        |0      |
|232,552|806  |0   |0   |1    |1        |2025-11-27 11:30:00|6        |0      |
|232,553|806  |0   |0   |1    |2        |2025-11-27 11:39:00|6        |0      |
|232,554|806  |0   |0   |1    |2        |2025-11-27 11:48:00|6        |0      |
|232,555|806  |0   |0   |1    |1        |2025-11-27 12:00:00|6        |5      |
|232,556|806  |0   |0   |3    |1        |2025-11-27 12:03:00|6        |5      |
|232,557|806  |0   |0   |1    |2        |2025-11-27 12:06:00|6        |5      |
|232,558|806  |0   |0   |1    |1        |2025-11-27 12:15:00|6        |5      |
|232,559|806  |0   |0   |1    |2        |2025-11-27 12:15:00|6        |5      |
|232,560|806  |0   |0   |2    |1        |2025-11-27 12:18:00|6        |5      |
|232,561|806  |0   |0   |1    |2        |2025-11-27 12:33:00|6        |5      |
|232,562|806  |0   |0   |1    |1        |2025-11-27 12:39:00|6        |5      |
|232,563|806  |0   |0   |1    |2        |2025-11-27 12:45:00|6        |5      |
|232,564|806  |0   |0   |1    |1        |2025-11-27 12:48:00|6        |5      |
|232,565|806  |0   |0   |5    |1        |2025-11-27 13:03:00|6        |-1     |
|232,566|806  |0   |0   |5    |2        |2025-11-27 13:03:00|6        |-1     |
|232,567|806  |0   |0   |1    |1        |2025-11-27 13:06:00|6        |-1     |
|232,568|806  |0   |0   |3    |2        |2025-11-27 13:18:00|6        |-1     |
|232,569|806  |0   |0   |1    |2        |2025-11-27 13:27:00|6        |-1     |
|232,570|806  |0   |0   |1    |1        |2025-11-27 13:30:00|6        |-1     |
|232,571|806  |0   |0   |1    |2        |2025-11-27 13:48:00|6        |-1     |
|232,572|806  |0   |0   |3    |1        |2025-11-27 13:51:00|6        |-1     |
|232,573|806  |0   |0   |1    |2        |2025-11-27 13:51:00|6        |-1     |
|232,574|806  |0   |0   |1    |1        |2025-11-27 14:03:00|6        |4      |
|232,575|806  |0   |0   |1    |2        |2025-11-27 14:06:00|6        |4      |
|232,576|806  |0   |0   |2    |2        |2025-11-27 14:09:00|6        |4      |
|232,577|806  |0   |0   |4    |1        |2025-11-27 14:12:00|6        |4      |
|232,578|806  |0   |0   |2    |2        |2025-11-27 14:12:00|6        |4      |
|232,579|806  |0   |0   |2    |1        |2025-11-27 14:24:00|6        |4      |
|232,580|806  |0   |0   |1    |2        |2025-11-27 14:36:00|6        |4      |
|232,581|806  |0   |0   |2    |1        |2025-11-27 14:39:00|6        |4      |
|232,582|806  |0   |0   |1    |1        |2025-11-27 14:48:00|6        |4      |
|232,583|806  |0   |0   |1    |1        |2025-11-27 15:06:00|6        |-1     |
|232,584|806  |0   |0   |1    |2        |2025-11-27 15:33:00|6        |-1     |
|232,585|806  |0   |0   |1    |2        |2025-11-27 15:57:00|6        |-1     |
|232,586|806  |0   |0   |2    |1        |2025-11-27 16:21:00|6        |4      |
|232,587|806  |0   |0   |1    |2        |2025-11-27 16:27:00|6        |4      |
|232,588|806  |0   |0   |3    |1        |2025-11-27 16:39:00|6        |4      |
|232,589|806  |0   |0   |1    |1        |2025-11-27 17:09:00|6        |-2     |
|232,590|806  |0   |0   |2    |2        |2025-11-27 17:18:00|6        |-2     |
|232,591|806  |0   |0   |1    |2        |2025-11-27 17:42:00|6        |-2     |
|232,592|806  |0   |0   |1    |1        |2025-11-27 18:06:00|6        |0      |
|232,593|682  |0   |0   |1    |2        |2025-11-27 18:18:00|6        |-1     |
|232,594|806  |0   |0   |1    |1        |2025-11-27 18:18:00|6        |0      |
|232,595|806  |0   |0   |2    |1        |2025-11-27 18:24:00|6        |0      |
|232,596|806  |0   |0   |3    |2        |2025-11-27 18:24:00|6        |0      |
|232,597|806  |0   |0   |2    |1        |2025-11-27 18:45:00|6        |0      |
|232,598|806  |0   |0   |1    |2        |2025-11-27 18:45:00|6        |0      |
|232,599|806  |0   |0   |1    |2        |2025-11-27 18:48:00|6        |0      |
|232,600|806  |0   |0   |1    |1        |2025-11-27 18:51:00|6        |0      |
|232,601|806  |0   |0   |2    |2        |2025-11-27 18:51:00|6        |0      |
|232,602|806  |0   |0   |1    |1        |2025-11-27 19:15:00|6        |0      |
|232,603|806  |0   |0   |2    |2        |2025-11-27 19:15:00|6        |0      |
|232,604|806  |0   |0   |2    |1        |2025-11-27 19:18:00|6        |0      |
|232,605|806  |0   |0   |1    |2        |2025-11-27 19:18:00|6        |0      |
