|id     |face_id|status|accepted_by|created_at             |
|112,069|439,836|0     |11         |2025-11-25 13:12:00.287|
|112,070|439,869|0     |11         |2025-11-25 13:15:59.832|
|112,071|439,872|0     |11         |2025-11-25 13:16:35.597|
|112,072|439,873|0     |11         |2025-11-25 13:16:54.619|
|112,073|439,876|0     |11         |2025-11-25 13:17:16.55 |
|112,074|439,877|0     |11         |2025-11-25 13:17:18.655|
|112,075|439,891|0     |11         |2025-11-25 13:19:50.479|
|112,076|439,904|0     |11         |2025-11-25 13:21:02.067|
|112,077|439,907|0     |11         |2025-11-25 13:21:53.892|
|112,078|439,909|0     |11         |2025-11-25 13:22:00.454|
|112,079|439,910|0     |11         |2025-11-25 13:22:13.822|
|112,080|439,911|0     |11         |2025-11-25 13:22:16.141|
|112,081|439,921|0     |1          |2025-11-25 13:23:59.313|
|112,082|439,928|0     |1          |2025-11-25 13:24:22.795|
|112,083|439,931|0     |11         |2025-11-25 13:24:25.731|
|112,084|439,950|0     |1          |2025-11-25 13:26:54.18 |
|112,085|439,964|0     |11         |2025-11-25 13:29:15.879|
|112,086|439,973|0     |11         |2025-11-25 13:31:59.657|
|112,087|439,976|0     |1          |2025-11-25 13:33:31.086|
|112,088|439,980|0     |11         |2025-11-25 13:33:57.473|
|112,089|440,000|0     |1          |2025-11-25 13:38:11.368|
|112,090|440,002|0     |11         |2025-11-25 13:38:37.309|
|112,091|440,010|0     |11         |2025-11-25 13:39:39.513|
|112,092|440,012|0     |1          |2025-11-25 13:39:59.279|
|112,093|440,014|0     |1          |2025-11-25 13:40:35.776|
|112,094|440,031|0     |11         |2025-11-25 13:43:20.871|
|112,095|440,036|0     |11         |2025-11-25 13:43:35.219|
|112,096|440,042|0     |11         |2025-11-25 13:43:51.904|
|112,097|440,061|0     |1          |2025-11-25 13:46:17.404|
|112,098|440,064|0     |1          |2025-11-25 13:46:42.645|
|112,099|440,068|0     |11         |2025-11-25 13:46:57.754|
|112,100|440,071|0     |1          |2025-11-25 13:47:29.09 |
|112,101|440,094|0     |11         |2025-11-25 13:52:22.543|
|112,102|440,099|0     |1          |2025-11-25 13:54:47.831|
|112,103|440,106|0     |1          |2025-11-25 13:56:33.486|
|112,104|440,144|0     |11         |2025-11-25 14:07:10.39 |
|112,105|440,160|0     |11         |2025-11-25 14:09:28.252|
|112,106|440,174|0     |1          |2025-11-25 14:13:28.385|
|112,107|440,186|0     |11         |2025-11-25 14:15:32.62 |
|112,108|440,191|0     |11         |2025-11-25 14:16:02.428|
|112,109|440,217|0     |1          |2025-11-25 14:21:13.438|
|112,110|440,219|0     |11         |2025-11-25 14:21:27.648|
|112,111|440,260|0     |11         |2025-11-25 14:31:48.215|
|112,112|440,270|0     |1          |2025-11-25 14:32:56.845|
|112,113|440,272|0     |11         |2025-11-25 14:33:10.778|
|112,114|440,283|0     |11         |2025-11-25 14:36:54.395|
|112,115|440,292|0     |11         |2025-11-25 14:42:33.352|
|112,116|440,296|0     |1          |2025-11-25 14:45:31.376|
|112,117|440,309|0     |1          |2025-11-25 14:50:11.48 |
|112,118|440,311|0     |1          |2025-11-25 14:50:25.435|
|112,119|440,312|0     |1          |2025-11-25 14:50:31.104|
|112,120|440,313|0     |1          |2025-11-25 14:50:38.296|
|112,121|440,326|0     |11         |2025-11-25 14:53:50.942|
|112,122|440,333|0     |1          |2025-11-25 14:56:53.036|
|112,123|440,345|0     |1          |2025-11-25 15:01:44.088|
|112,124|440,347|0     |1          |2025-11-25 15:02:01.392|
|112,125|440,360|0     |11         |2025-11-25 15:05:34.13 |
|112,126|440,363|0     |1          |2025-11-25 15:06:53.626|
|112,127|440,364|0     |11         |2025-11-25 15:07:03.671|
|112,128|440,402|0     |1          |2025-11-25 15:15:39.016|
|112,129|440,403|0     |1          |2025-11-25 15:17:50.058|
|112,130|440,406|0     |11         |2025-11-25 15:20:06.073|
|112,131|440,413|0     |11         |2025-11-25 15:20:42.469|
|112,132|440,423|0     |11         |2025-11-25 15:23:19.263|
|112,133|440,424|0     |11         |2025-11-25 15:23:38.664|
|112,134|440,468|0     |1          |2025-11-25 15:34:47.088|
|112,135|440,469|0     |1          |2025-11-25 15:35:16.441|
|112,136|440,470|0     |1          |2025-11-25 15:35:21.495|
|112,137|440,481|0     |1          |2025-11-25 15:38:32.129|
|112,138|440,492|0     |11         |2025-11-25 15:41:20.92 |
|112,139|440,498|0     |11         |2025-11-25 15:43:01.873|
|112,140|440,501|0     |1          |2025-11-25 15:43:48.43 |
|112,141|440,502|0     |1          |2025-11-25 15:44:14.36 |
|112,142|440,505|0     |1          |2025-11-25 15:47:10.889|
|112,143|440,510|0     |1          |2025-11-25 15:47:21.838|
|112,144|440,512|0     |1          |2025-11-25 15:47:43.577|
|112,145|440,514|0     |1          |2025-11-25 15:48:10.116|
|112,146|440,516|0     |1          |2025-11-25 15:48:16.951|
|112,147|440,545|0     |11         |2025-11-25 15:54:53.567|
|112,148|440,595|0     |11         |2025-11-25 16:07:31.952|
|112,149|440,599|0     |11         |2025-11-25 16:08:15.497|
|112,150|440,609|0     |11         |2025-11-25 16:10:20.931|
|112,151|440,614|0     |11         |2025-11-25 16:13:30.461|
|112,152|440,616|0     |11         |2025-11-25 16:14:11.056|
|112,153|440,618|0     |11         |2025-11-25 16:14:35.499|
|112,154|440,632|0     |1          |2025-11-25 16:17:56.839|
|112,155|440,634|0     |1          |2025-11-25 16:18:33.501|
|112,156|440,637|0     |1          |2025-11-25 16:19:08.123|
|112,157|440,638|0     |11         |2025-11-25 16:19:44.78 |
|112,158|440,639|0     |1          |2025-11-25 16:19:47.241|
|112,159|440,640|0     |1          |2025-11-25 16:20:13.626|
|112,160|440,645|0     |1          |2025-11-25 16:22:04.16 |
|112,161|440,653|0     |1          |2025-11-25 16:23:12.965|
|112,162|440,662|0     |11         |2025-11-25 16:26:31.989|
|112,163|440,667|0     |11         |2025-11-25 16:27:49.588|
|112,164|440,668|0     |11         |2025-11-25 16:27:59.817|
|112,165|440,688|0     |11         |2025-11-25 16:34:16.237|
