|id |name                           |comment                      |min_confidence|streams                      |send_internal_notifications|events_holder                                                                                           |status|created_at             |client_id|color  |time_attendance                                                       |enabled|list_permissions                                                                                                                                                                                               |
|93 |SEGURANÇA SHOPPING             |                             |60            |"[231,232]"                  |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-01-18 09:28:47.246|0        |#0cc908|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|94 |CAPIXABA SERVIÇOS INTEGRADOS   |                             |80            |"[498]"                      |true                       |"{\"events\":[{\"id\":\"3f384d50-aab2-4e1f-918c-0b3481a14d05\",\"params\":{}}],\"notify_enabled\":true}"|1     |2025-02-18 10:06:32.206|0        |#0b2cd0|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|95 |SEDE VERTEX                    |THIAGO POLLIS                |80            |"[501]"                      |true                       |"{\"events\":[],\"notify_enabled\":true}"                                                               |-1    |2025-02-22 08:53:44.939|8        |#1cb5e9|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|96 |COLABORADORES ANTONIO M MACHADO|                             |80            |"[501,537]"                  |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2025-05-08 11:11:59.678|8        |#f18e04|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|97 |Portal Patropolis              |                             |80            |"[913]"                      |false                      |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-11-03 18:51:22.724|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|98 |Prestadores de Serviços        |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-02-23 15:08:57.782|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|99 |Suspeitor                      |                             |80            |"[533]"                      |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-03-11 09:18:34.292|86       |#ff0000|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":100,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"|
|100|FORAGIDOS                      |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-03-11 09:22:13.907|86       |#ffc21a|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":100,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"|
|101|MORADORES ANTONIO M MACHADO    |MORADORES ANTONIO M MACHADO  |80            |"[501,537]"                  |true                       |"{\"events\":[],\"notify_enabled\":true}"                                                               |-1    |2025-05-08 10:23:07.476|8        |#1ef202|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|102|VISITANTES ANTONIO M MACHADO   |                             |80            |"[501,537]"                  |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2025-03-18 12:31:35.945|8        |#f2d336|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
