|id |name|parent_id|plugin_name|client_id|
|369|0124 - VITORIA FUTEBOL CLUBE - GALERIA VITORIA|0|fallen_people|97|
|370|ESTOQUE VERTEX|0|fallen_people|8|
|371|ATCOM- SHOPPINGS|0|fallen_people|101|
|372|MARCELO|0|fallen_people|90|
|373|0085 - VITORIA FUTEBOL CLUBE|0|fallen_people|97|
|374|AGRALE GALPAO|0|fallen_people|6|
|375|SCARDUA|0|fallen_people|6|
|376|ASSALTOS|0|gender_age|1|
|377|SIMULACOES|0|gender_age|1|
|378|ULTRAFARMA SANTO AMARO|0|gender_age|4|
|379|IPMED|0|gender_age|6|
|380|ESPIRAL|0|gender_age|6|
|381|SERVIP|0|gender_age|6|
|382|LUVEP|0|gender_age|6|
|383|GM INDUSTRIAL|0|gender_age|6|
|384|KOMTEK|0|gender_age|0|
|385|SHOPP LARANJEIRAS|0|gender_age|6|
|386|APRESENTACAO|0|gender_age|0|
|387|6002 - SHOWROOM|0|gender_age|40|
|388|SHOPPING VITORIA TESTE|0|gender_age|40|
|389|GDL LOGISTICA|0|gender_age|40|
|390|CAPIXABA|0|gender_age|0|
|391|0992 - COPAG|0|gender_age|80|
|392|PHD Vila Velha|0|gender_age|6|
|393|PROJETO GDL|0|gender_age|0|
|394|ESCOLA SANTA TEREZINHA|0|gender_age|6|
|395|GRUPOSEI|0|gender_age|0|
|396|BANCO SICOOB|0|gender_age|84|
|397|EPI|0|gender_age|0|
|398|ALERTAS OCR|0|gender_age|1|
|399|RIVIERA|0|gender_age|6|
|400|POC GRUPO SEI|0|gender_age|84|
|401|ANTONIO. M. MACHADO|0|gender_age|8|
|402|SEGEAGLE|0|gender_age|0|
|403|GTTAN|0|gender_age|0|
|404|CASA BRANCA|0|gender_age|6|
|405|EUROVIDROS|0|gender_age|6|
|406|AGGREGATION|0|gender_age|0|
|407|HOMOLOGACOES|0|gender_age|0|
|408|PRAIA FORT|0|gender_age|0|
|409|COND. ROSENGARTEN|0|gender_age|8|
|410|COND. SUPREMO VILA YARA|0|gender_age|8|
|411|FINERAX|0|gender_age|8|
|412|COND. SOLAR SERRANO|0|gender_age|8|
|413|COND. CINTIA|0|gender_age|8|
|414|BASE OPERACAO|0|gender_age|8|
|415|COND. ANNUNCIATA|0|gender_age|8|
|416|COND. ART ECO VIDA|0|gender_age|8|
|417|COND. ATLANTA|0|gender_age|8|
|418|COND. VILA YARA|0|gender_age|8|
|419|COND. UPTOWN|0|gender_age|8|
|420|COND. SHALON|0|gender_age|8|
|421|COND. AUSTRIA|0|gender_age|8|
|422|COND. SCORPIUS|0|gender_age|8|
|423|COND. ROMA|0|gender_age|8|
|424|COND. PRISCILA|0|gender_age|8|
|425|COND. PORTAL SAO FRANCISCO|0|gender_age|8|
|426|COND. ORQUIDEAS|0|gender_age|8|
|427|COND. MORADA DO SOL|0|gender_age|8|
|428|COND. MATRIZ|0|gender_age|8|
|429|COND. MARAPASSU|0|gender_age|8|
|430|COND. IPANEMA|0|gender_age|8|
|431|COND. FLORENCA|0|gender_age|8|
|432|COND. ESPANHA|0|gender_age|8|
|433|COND. CAMILA|0|gender_age|8|
|434|COND. BORBA GATO|0|gender_age|8|
|435|COND. BEIJA FLOR|0|gender_age|8|
|436|COND. BANDEIRANTES|0|gender_age|8|
|437|COND. ANIMA|0|gender_age|8|
|438|COND. 28 DE MAIO|0|gender_age|8|
|439|COND. AMERICA|0|gender_age|8|
|440|COND. BONFIGLIOLI|0|gender_age|8|
|441|COND. BOULEVARD|0|gender_age|8|
|442|COND. CAMPO GRANDE|0|gender_age|8|
|443|COND. CANTA GALO|0|gender_age|8|
|444|COND. CASA FLORA|0|gender_age|8|
|445|COND. CASCAIS|0|gender_age|8|
|446|COND. COQUEIROS|0|gender_age|8|
|447|COND. DIVA|0|gender_age|8|
|448|COND. FLOR DE LIRIO|0|gender_age|8|
|449|COND. GARDENS|0|gender_age|8|
|450|COND. GIUSEPPE|0|gender_age|8|
|451|COND. GOLDEN GATE|0|gender_age|8|
|452|COND. GRAND CANAL|0|gender_age|8|
|453|COND. HORTENCIAS|0|gender_age|8|
|454|COND. LA VILLETE|0|gender_age|8|
|455|COND. LIFE STYLE|0|gender_age|8|
|456|COND. MAGGIORE|0|gender_age|8|
|457|COND. MARIE|0|gender_age|8|
|458|COND. MATIAZZO|0|gender_age|8|
