|id                                                                     |author            |filename                                                       |dateexecuted              |orderexecuted|exectype|md5sum                            |description                                                                                                                                                                                                                                               |comments           |tag   |liquibase|contexts|labels|deployment_id|
|change-event-manager-primary-key-v2                                    |maksym.kostyshen  |sql/changelog/2.0.0/event-manager-table.xml                    |2025-12-17 01:44:45.641315|41           |EXECUTED|8:3252e61be100ba998f131b30c371f8a0|createTable tableName=event_manager_temp; sql; dropTable tableName=event_manager; renameTable newTableName=event_manager, oldTableName=event_manager_temp                                                                                                 |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-table-windows-share-folder-configs                              |dmytro.yarmoshchuk|sql/changelog/2.0.0/windows-share-table.xml                    |2025-12-17 01:44:45.689442|42           |EXECUTED|8:4afc1c50a7671b3b71684d049852b788|createTable tableName=windows_share_folder_configs                                                                                                                                                                                                        |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-backups-table                                                   |maksym.kostyshen  |sql/changelog/2.0.0/backups-table.xml                          |2025-12-17 01:44:45.73702 |43           |EXECUTED|8:f7564b352b4808056e9e831e242bfcb5|createTable tableName=backups                                                                                                                                                                                                                             |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|add-vms-integration-field                                              |maksym.kostyshen  |sql/changelog/2.0.0/backups-table.xml                          |2025-12-17 01:44:45.763916|44           |EXECUTED|8:9a6d070f83c42bd8251089af013f9eca|addColumn tableName=backups; addNotNullConstraint columnName=is_vms_integration_enabled, tableName=backups                                                                                                                                                |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-analytics-groups-table                                          |mark.rufin        |sql/changelog/2.0.0/analytics-groups-table.xml                 |2025-12-17 01:44:45.809461|45           |EXECUTED|8:05a0c71ecd30636d894d24dd24cb3321|createTable tableName=analytics_groups                                                                                                                                                                                                                    |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|add-group-id-column-to-analytics                                       |maksym.fedorenko  |sql/changelog/2.0.0/analytics-groups-table.xml                 |2025-12-17 01:44:45.829048|46           |EXECUTED|8:9aad5372ec9bb8d1718c2e2ab26809aa|addColumn tableName=analytics                                                                                                                                                                                                                             |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-aggregated_metrics_core-table                                   |maksym.kostyshen  |sql/changelog/2.0.0/metrics-tables.xml                         |2025-12-17 01:44:45.878798|47           |EXECUTED|8:aa3295587c47a588c27f3a508ad11881|createTable tableName=aggregated_metrics_core                                                                                                                                                                                                             |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-aggregated_metrics_analytics_servers-table                      |maksym.kostyshen  |sql/changelog/2.0.0/metrics-tables.xml                         |2025-12-17 01:44:45.929269|48           |EXECUTED|8:8b6e4792dae54898c60e25e0324acee1|createTable tableName=aggregated_metrics_analytics_servers; addForeignKeyConstraint baseTableName=aggregated_metrics_analytics_servers, constraintName=FK__metrics_analytics_servers__metrics_core, referencedTableName=aggregated_metrics_core           |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create_aggregated_metrics_analytics_servers_gpu-table                  |maksym.kostyshen  |sql/changelog/2.0.0/metrics-tables.xml                         |2025-12-17 01:44:45.974955|49           |EXECUTED|8:fdb17c7c9794baf8b0c72c1dbb1faa18|createTable tableName=aggregated_metrics_analytics_servers_gpu; addForeignKeyConstraint baseTableName=aggregated_metrics_analytics_servers_gpu, constraintName=FK__metrics_analytics_servers_gpu__metrics_analytics_servers, referencedTableName=aggreg...|                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-axis-station-pro-settings                                       |dmytro.yarmoshchuk|sql/changelog/2.0.0/axis-station-pro.xml                       |2025-12-17 01:44:46.008542|50           |EXECUTED|8:ba8aa889065d76b40c21da17407aa6f6|createTable tableName=axis_station_pro_settings                                                                                                                                                                                                           |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
