|id |plate_number|arabic_number|adr|box                                                                                |plate_image                                                       |frame_image                                               |analytics_id|make_model_id|vehicle_type|created_at             |color_id|direction|country|pattern  |client_id|latitude |longitude|
|42 |UGQ7B26     |             |   |[0.625,0.1565789431333542,0.667782723903656,0.17960526049137115]                   |analytics/plates/3/2025/12/17/23/UGQ7B26_1766012447705_cropped.jpg|analytics/plates/3/2025/12/17/23/UGQ7B26_1766012447705.jpg|3           |202,952      |7           |2025-12-17 23:00:47.707|7       |303      |BR     |BRAZIL-1 |0        |0        |0        |
|43 |TDY6H49     |             |   |[0.6808035969734192,0.2605263292789459,0.7254464030265808,0.2861842215061188]      |analytics/plates/3/2025/12/17/23/TDY6H49_1766012450400_cropped.jpg|analytics/plates/3/2025/12/17/23/TDY6H49_1766012450400.jpg|3           |201,416      |7           |2025-12-17 23:00:50.402|5       |304      |BR     |BRAZIL-1 |0        |0        |0        |
|44 |QOO7A75     |             |   |[0.5416666865348816,0.3565789461135864,0.597470223903656,0.3842105269432068]       |analytics/plates/3/2025/12/17/23/QOO7A75_1766012504959_cropped.jpg|analytics/plates/3/2025/12/17/23/QOO7A75_1766012504959.jpg|3           |200,896      |7           |2025-12-17 23:01:44.961|15      |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|45 |CRO9I69     |             |   |[0.4694940447807312,0.24868421256542206,0.5174851417541504,0.2697368562221527]     |analytics/plates/3/2025/12/17/23/CRO9I69_1766012508203_cropped.jpg|analytics/plates/3/2025/12/17/23/CRO9I69_1766012508203.jpg|3           |200,003      |7           |2025-12-17 23:01:48.205|7       |311      |BR     |BRAZIL-1 |0        |0        |0        |
|46 |EMK1F55     |             |   |[0.7351190447807312,0.6605263352394104,0.8076636791229248,0.7026315927505493]      |analytics/plates/3/2025/12/17/23/EMK1F55_1766012520187_cropped.jpg|analytics/plates/3/2025/12/17/23/EMK1F55_1766012520187.jpg|3           |200,896      |7           |2025-12-17 23:02:00.189|15      |146      |BR     |BRAZIL-1 |0        |0        |0        |
|47 |FEC8F19     |             |   |[0.6302083134651184,0.2697368562221527,0.675595223903656,0.2947368323802948]       |analytics/plates/3/2025/12/17/23/FEC8F19_1766012568311_cropped.jpg|analytics/plates/3/2025/12/17/23/FEC8F19_1766012568311.jpg|3           |200,398      |7           |2025-12-17 23:02:48.313|5       |306      |BR     |BRAZIL-1 |0        |0        |0        |
|51 |DKD2079     |             |   |[0.8359375,0.32039472460746765,0.882440447807312,0.35394737124443054]              |analytics/plates/3/2025/12/17/23/DKD2079_1766012681080_cropped.jpg|analytics/plates/3/2025/12/17/23/DKD2079_1766012681080.jpg|3           |200,948      |5           |2025-12-17 23:04:41.082|7       |300      |BR     |BRAZIL-1 |0        |0        |0        |
|52 |CTQ5794     |             |   |[0.550967276096344,0.14342105388641357,0.5885416865348816,0.169736847281456]       |analytics/plates/3/2025/12/17/23/CTQ5794_1766012689031_cropped.jpg|analytics/plates/3/2025/12/17/23/CTQ5794_1766012689031.jpg|3           |200,948      |5           |2025-12-17 23:04:49.033|7       |307      |BR     |BRAZIL-1 |0        |0        |0        |
|53 |PZH1140     |             |   |[0.5926339030265808,0.2605263292789459,0.6458333134651184,0.2921052575111389]      |analytics/plates/3/2025/12/17/23/PZH1140_1766012699111_cropped.jpg|analytics/plates/3/2025/12/17/23/PZH1140_1766012699111.jpg|3           |200,948      |5           |2025-12-17 23:04:59.113|7       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|54 |EIN1A17     |             |   |[0.586309552192688,0.042763158679008484,0.6194196343421936,0.06315789371728897]    |analytics/plates/3/2025/12/17/23/EIN1A17_1766012751768_cropped.jpg|analytics/plates/3/2025/12/17/23/EIN1A17_1766012751768.jpg|3           |200,310      |7           |2025-12-17 23:05:51.77 |7       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|55 |DIZ0B75     |             |   |[0.6692708134651184,0.29078948497772217,0.7206101417541504,0.3171052634716034]     |analytics/plates/3/2025/12/17/23/DIZ0B75_1766012773407_cropped.jpg|analytics/plates/3/2025/12/17/23/DIZ0B75_1766012773407.jpg|3           |201,160      |5           |2025-12-17 23:06:13.409|5       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|56 |FHN5010     |             |   |[0.601190447807312,0.25131580233573914,0.6491815447807312,0.2763157784938812]      |analytics/plates/3/2025/12/17/23/FHN5010_1766012785930_cropped.jpg|analytics/plates/3/2025/12/17/23/FHN5010_1766012785930.jpg|3           |200,310      |7           |2025-12-17 23:06:25.932|7       |322      |EC     |ECUADOR-1|0        |0        |0        |
|57 |SUI6D44     |             |   |[0.609002947807312,0.21578946709632874,0.6517857313156128,0.24473683536052704]     |analytics/plates/3/2025/12/17/23/SUI6D44_1766012830844_cropped.jpg|analytics/plates/3/2025/12/17/23/SUI6D44_1766012830844.jpg|3           |-1           |0           |2025-12-17 23:07:10.844|4       |304      |BR     |BRAZIL-1 |0        |0        |0        |
|58 |FCD6G32     |             |   |[0.625372052192688,0.15460526943206787,0.667782723903656,0.18026316165924072]      |analytics/plates/3/2025/12/17/23/FCD6G32_1766012861562_cropped.jpg|analytics/plates/3/2025/12/17/23/FCD6G32_1766012861562.jpg|3           |203,071      |4           |2025-12-17 23:07:41.564|5       |299      |BR     |BRAZIL-1 |0        |0        |0        |
|59 |EGX9H58     |             |   |[0.582217276096344,0.15526315569877625,0.617559552192688,0.17499999701976776]      |analytics/plates/3/2025/12/17/23/EGX9H58_1766012870658_cropped.jpg|analytics/plates/3/2025/12/17/23/EGX9H58_1766012870658.jpg|3           |200,060      |7           |2025-12-17 23:07:50.661|7       |302      |BR     |BRAZIL-1 |0        |0        |0        |
|60 |CON3519     |             |   |[0.6763392686843872,0.25789472460746765,0.722842276096344,0.2789473831653595]      |analytics/plates/3/2025/12/17/23/CON3519_1766012900748_cropped.jpg|analytics/plates/3/2025/12/17/23/CON3519_1766012900748.jpg|3           |201,479      |7           |2025-12-17 23:08:20.75 |5       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|61 |BER9D16     |             |   |[0.7589285969734192,0.2677631676197052,0.8002232313156128,0.2947368323802948]      |analytics/plates/3/2025/12/17/23/BER9D16_1766012920255_cropped.jpg|analytics/plates/3/2025/12/17/23/BER9D16_1766012920255.jpg|3           |201,479      |7           |2025-12-17 23:08:40.257|5       |307      |BR     |BRAZIL-1 |0        |0        |0        |
|62 |BER0721     |             |   |[0.7046130895614624,0.21381579339504242,0.7429315447807312,0.2388157844543457]     |analytics/plates/3/2025/12/17/23/BER0721_1766012920700_cropped.jpg|analytics/plates/3/2025/12/17/23/BER0721_1766012920700.jpg|3           |201,479      |7           |2025-12-17 23:08:40.702|5       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|63 |DFW3210     |             |   |[0.613467276096344,0.17039473354816437,0.6517857313156128,0.1967105269432068]      |analytics/plates/3/2025/12/17/23/DFW3210_1766012950290_cropped.jpg|analytics/plates/3/2025/12/17/23/DFW3210_1766012950290.jpg|3           |200,567      |7           |2025-12-17 23:09:10.292|7       |304      |BR     |BRAZIL-1 |0        |0        |0        |
|64 |EXZ3951     |             |   |[0.9263392686843872,0.48289474844932556,0.976934552192688,0.5203947424888611]      |analytics/plates/3/2025/12/17/23/EXZ3951_1766012967885_cropped.jpg|analytics/plates/3/2025/12/17/23/EXZ3951_1766012967885.jpg|3           |200,007      |7           |2025-12-17 23:09:27.887|7       |275      |BR     |BRAZIL-1 |0        |0        |0        |
|65 |EMQ4180     |             |   |[0.7481398582458496,0.3151315748691559,0.7950148582458496,0.3486842215061188]      |analytics/plates/3/2025/12/17/23/EMQ4180_1766012968329_cropped.jpg|analytics/plates/3/2025/12/17/23/EMQ4180_1766012968329.jpg|3           |200,007      |7           |2025-12-17 23:09:28.331|7       |-1       |EC     |ECUADOR-1|0        |0        |0        |
|66 |DBE1783     |             |   |[0.5982142686843872,0.35328948497772217,0.6532738208770752,0.3855263292789459]     |analytics/plates/3/2025/12/17/23/DBE1783_1766012974930_cropped.jpg|analytics/plates/3/2025/12/17/23/DBE1783_1766012974930.jpg|3           |200,031      |5           |2025-12-17 23:09:34.932|1       |317      |EC     |ECUADOR-1|0        |0        |0        |
|67 |EEA7H96     |             |   |[0.5453869104385376,0.18421052396297455,0.5944940447807312,0.21118420362472534]    |analytics/plates/3/2025/12/17/23/EEA7H96_1766013018004_cropped.jpg|analytics/plates/3/2025/12/17/23/EEA7H96_1766013018004.jpg|3           |200,265      |7           |2025-12-17 23:10:18.007|7       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|68 |FZA2H89     |             |   |[0.5792410969734192,0.28881579637527466,0.6279761791229248,0.3151315748691559]     |analytics/plates/3/2025/12/17/23/FZA2H89_1766013033508_cropped.jpg|analytics/plates/3/2025/12/17/23/FZA2H89_1766013033508.jpg|3           |200,567      |1           |2025-12-17 23:10:33.51 |5       |310      |BR     |BRAZIL-1 |0        |0        |0        |
|69 |GBZ2E16     |             |   |[0.7038690447807312,0.3328947424888611,0.7570684552192688,0.36052632331848145]     |analytics/plates/3/2025/12/17/23/GBZ2E16_1766013063708_cropped.jpg|analytics/plates/3/2025/12/17/23/GBZ2E16_1766013063708.jpg|3           |200,205      |1           |2025-12-17 23:11:03.71 |5       |306      |BR     |BRAZIL-1 |0        |0        |0        |
|70 |SWF2J50     |             |   |[0.5718005895614624,0.1631578952074051,0.6123511791229248,0.18881578743457794]     |analytics/plates/3/2025/12/17/23/SWF2J50_1766013124135_cropped.jpg|analytics/plates/3/2025/12/17/23/SWF2J50_1766013124135.jpg|3           |201,479      |6           |2025-12-17 23:12:04.137|15      |304      |BR     |BRAZIL-1 |0        |0        |0        |
|71 |ERX7J57     |             |   |[0.569940447807312,0.15131579339504242,0.6067708134651184,0.17302630841732025]     |analytics/plates/3/2025/12/17/23/ERX7J57_1766013136525_cropped.jpg|analytics/plates/3/2025/12/17/23/ERX7J57_1766013136525.jpg|3           |200,310      |7           |2025-12-17 23:12:16.528|1       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|72 |EKE5883     |             |   |[0.8526785969734192,0.5802631378173828,0.9140625,0.6276316046714783]               |analytics/plates/3/2025/12/17/23/EKE5883_1766013162446_cropped.jpg|analytics/plates/3/2025/12/17/23/EKE5883_1766013162446.jpg|3           |201,322      |6           |2025-12-17 23:12:42.448|8       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|73 |ERY2541     |             |   |[0.5993303656578064,0.3328947424888611,0.652157723903656,0.3598684072494507]       |analytics/plates/3/2025/12/17/23/ERY2541_1766013178520_cropped.jpg|analytics/plates/3/2025/12/17/23/ERY2541_1766013178520.jpg|3           |201,322      |6           |2025-12-17 23:12:58.523|7       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
