|id |detection_id|status|accepted_by|created_at             |list_id|list_item_id|analytics_id|uuid                                |confidence|box                                                                            |face_image                                                                                    |frame_image                                                                           |age   |gender|race  |spoofed|mask  |latitude|longitude|client_id|
|25 |25          |0     |1          |2025-12-17 22:35:22.807|1      |0           |7           |c72f4a33-1af9-46e6-bd22-477ef2d0c014|0         |[0.1811755895614624,0.3638157844543457,0.200148805975914,0.39671051502227783]  |analytics/faces/7/2025/12/17/22/c72f4a33-1af9-46e6-bd22-477ef2d0c014_1766010922778_cropped.jpg|analytics/faces/7/2025/12/17/22/c72f4a33-1af9-46e6-bd22-477ef2d0c014_1766010922778.jpg|1-5   |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|26 |26          |0     |1          |2025-12-17 22:35:23.693|1      |0           |7           |f395e762-e82a-4a2e-aae8-084baa838dbf|0         |[0.2328869104385376,0.22368420660495758,0.2593005895614624,0.2638157904148102] |analytics/faces/7/2025/12/17/22/f395e762-e82a-4a2e-aae8-084baa838dbf_1766010923670_cropped.jpg|analytics/faces/7/2025/12/17/22/f395e762-e82a-4a2e-aae8-084baa838dbf_1766010923670.jpg|17-21 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|27 |27          |0     |1          |2025-12-17 22:35:24.098|1      |0           |7           |db29679c-fa9f-41ab-8faa-20aa69b33742|0         |[0.151413694024086,0.4578947424888611,0.171875,0.4953947365283966]             |analytics/faces/7/2025/12/17/22/db29679c-fa9f-41ab-8faa-20aa69b33742_1766010924073_cropped.jpg|analytics/faces/7/2025/12/17/22/db29679c-fa9f-41ab-8faa-20aa69b33742_1766010924073.jpg|1-5   |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|32 |32          |0     |1          |2025-12-17 22:35:27.691|1      |0           |7           |843a1fc0-d498-4e65-bc14-c5ae64cf836e|0         |[0.032738097012043,0.4690789580345154,0.065476194024086,0.5361841917037964]    |analytics/faces/7/2025/12/17/22/843a1fc0-d498-4e65-bc14-c5ae64cf836e_1766010927666_cropped.jpg|analytics/faces/7/2025/12/17/22/843a1fc0-d498-4e65-bc14-c5ae64cf836e_1766010927666.jpg|22-30 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|33 |33          |0     |1          |2025-12-17 22:35:32.392|1      |0           |7           |8f397482-48b2-4ab5-b343-e54d3eac0ba2|0         |[0.2109375,0.2342105209827423,0.2328869104385376,0.26710525155067444]          |analytics/faces/7/2025/12/17/22/8f397482-48b2-4ab5-b343-e54d3eac0ba2_1766010932364_cropped.jpg|analytics/faces/7/2025/12/17/22/8f397482-48b2-4ab5-b343-e54d3eac0ba2_1766010932364.jpg|81-100|1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|39 |39          |0     |1          |2025-12-17 22:36:11.106|1      |0           |7           |cfe7abaf-162a-4934-8d9a-0b59aaa38041|0         |[0.21875,0.3032894730567932,0.2485119104385376,0.3546052575111389]             |analytics/faces/7/2025/12/17/22/cfe7abaf-162a-4934-8d9a-0b59aaa38041_1766010971074_cropped.jpg|analytics/faces/7/2025/12/17/22/cfe7abaf-162a-4934-8d9a-0b59aaa38041_1766010971074.jpg|17-21 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|45 |45          |0     |1          |2025-12-17 22:36:45.32 |1      |0           |7           |54cb6881-d10e-47c5-8a45-5a9fd891e031|0         |[0.8779761791229248,0.26710525155067444,0.9032738208770752,0.31118419766426086]|analytics/faces/7/2025/12/17/22/54cb6881-d10e-47c5-8a45-5a9fd891e031_1766011005295_cropped.jpg|analytics/faces/7/2025/12/17/22/54cb6881-d10e-47c5-8a45-5a9fd891e031_1766011005295.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|46 |46          |0     |1          |2025-12-17 22:36:46.22 |1      |0           |7           |381db764-1c50-4207-9eda-bc61a7ab8c35|0         |[0.8563988208770752,0.32499998807907104,0.8843005895614624,0.36907893419265747]|analytics/faces/7/2025/12/17/22/381db764-1c50-4207-9eda-bc61a7ab8c35_1766011006198_cropped.jpg|analytics/faces/7/2025/12/17/22/381db764-1c50-4207-9eda-bc61a7ab8c35_1766011006198.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|47 |47          |0     |1          |2025-12-17 22:36:50.02 |1      |0           |7           |edf7d9d4-d32e-4003-9252-fd764ffb18c9|0         |[0.7983630895614624,0.19539473950862885,0.8203125,0.23157894611358643]         |analytics/faces/7/2025/12/17/22/edf7d9d4-d32e-4003-9252-fd764ffb18c9_1766011009993_cropped.jpg|analytics/faces/7/2025/12/17/22/edf7d9d4-d32e-4003-9252-fd764ffb18c9_1766011009993.jpg|17-21 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|48 |48          |0     |1          |2025-12-17 22:36:50.546|1      |0           |7           |e34b2513-3997-4c09-a8ab-1dc6cc3343e8|0         |[0.9423363208770752,0.6282894611358643,0.9970238208770752,0.7171052694320679]  |analytics/faces/7/2025/12/17/22/e34b2513-3997-4c09-a8ab-1dc6cc3343e8_1766011010521_cropped.jpg|analytics/faces/7/2025/12/17/22/e34b2513-3997-4c09-a8ab-1dc6cc3343e8_1766011010521.jpg|31-35 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
